,index,Word,Tag,sentence_id
0,0,Dừa,O,0
1,1,lắm,O,0
2,2,:,O,0
3,3,),O,0
4,4,),O,0
5,6,Bấp,O,1
6,7,bênh,O,1
7,8,vl,B-T,1
8,9,thế,O,1
9,11,Chắc,O,2
10,12,cũng,O,2
11,13,biết,O,2
12,14,ko,O,2
13,15,tồn,O,2
14,16,tại,O,2
15,17,đc,O,2
16,18,bao,O,2
17,19,lâu,O,2
18,20,nữa,O,2
19,21,nên,O,2
20,22,cố,O,2
21,23,gắng,O,2
22,24,vét,B-T,2
23,26,Thấy,O,3
24,27,chán,B-T,3
25,28,ad,O,3
26,29,page,O,3
27,30,này,O,3
28,31,kiến,O,3
29,32,thức,O,3
30,33,thì,O,3
31,34,nông,B-T,3
32,35,cản,I-T,3
33,36,cái,O,3
34,37,gì,O,3
35,38,cũng,O,3
36,39,auto,O,3
37,40,sủa,B-T,3
38,41,",",O,3
39,42,cái,O,3
40,43,nhìn,O,3
41,44,thì,O,3
42,45,tiêu,B-T,3
43,46,cực,I-T,3
44,47,",",O,3
45,48,nói,O,3
46,49,chung,O,3
47,50,là,O,3
48,51,dốt,B-T,3
49,52,còn,O,3
50,53,nát,B-T,3
51,55,Giang,O,4
52,56,Giang,O,4
53,57,Đỗ,O,4
54,58,Thị,O,4
55,59,Ngọc,O,4
56,60,Hà,O,4
57,61,trend,O,4
58,62,mới,O,4
59,63,kìa,O,4
60,64,kìa,O,4
61,66,đcm,B-T,5
62,67,😒,B-T,5
63,68,sau,O,5
64,69,có,O,5
65,70,con,O,5
66,71,cho,O,5
67,72,hút,B-T,5
68,73,cỏ,I-T,5
69,74,chữa,O,5
70,75,bệnh,O,5
71,76,chứ,O,5
72,77,đéo,B-T,5
73,78,đưa,O,5
74,79,đi,O,5
75,80,bệnh,O,5
76,81,viện,O,5
77,82,😒,B-T,5
